tracking_id,sender,recipient,origin_province,destination_province,distance_km,weight_kg,package_quantity,ship_type,day_of_week,month,delayed,delivery_days
ENV-0021,Simon Agustina Gomez Martinez,Benjamin Nicolas Nuñez Gonzalez,Misiones,Corrientes,308,37.89,7,1,3,11,1,6
ENV-0022,Francisco Barrios Mendez,Agustina Garcia Suarez,Salta,Neuquen,250,12.77,3,1,0,10,0,2
ENV-0023,Sr(a). Lisandro Cruz,Dr(a). Emma Herrera,San Luis,Entre Rios,271,4.01,2,0,0,1,0,1
ENV-0024,Santiago Gomez,Benicio Ramirez,Catamarca,Salta,380,14.28,16,0,4,3,0,1
ENV-0025,Felicitas Velazquez Gomez,Sebastian Figueroa,San Luis,San Luis,141,12.53,16,1,1,2,1,5
ENV-0026,Valentina Lopez Acosta,Joaquin Medina,La Rioja,Misiones,175,23.62,2,0,0,7,0,1
ENV-0027,Simon Guzman Molina,Jeremias Rojas Gonzalez,Chaco,Entre Rios,519,9.92,15,0,3,3,1,5
ENV-0028,Gabriel Farias Lopez,Jazmin Guzman,Catamarca,Neuquen,160,5.35,18,0,0,4,1,5
ENV-0029,Mateo Gonzalez Alvarez,Emilia Quiroga,Rio Negro,Corrientes,222,45.17,6,1,0,7,1,6
ENV-0030,Dr(a). Felipe Garcia,Clara Molina Cardozo,Jujuy,Misiones,362,33.26,16,0,1,5,1,2
ENV-0031,Isabella Herrera Ayala,Sr(a). Isabella Gimenez,San Luis,Tucuman,508,3.52,11,0,0,10,0,3
ENV-0032,Bautista Bautista Guzman,Juan Ignacio Paez,Salta,Cordoba,684,48.06,3,0,0,10,1,5
ENV-0033,Clara Martina Rodriguez,Dr(a). Lucas Benjamin Diaz,Mendoza,Chaco,165,12.69,20,0,4,2,0,1
ENV-0034,Emma Camila Carrizo Garcia,Alexander Santiago Nicolas Gonzalez Rios,San Luis,San Luis,153,16.16,9,0,5,12,1,4
ENV-0035,Sr(a). Bautista Diaz,Valentino Lautaro Rodriguez Martinez,Mendoza,Chubut,346,23.13,3,0,3,10,0,1
ENV-0036,Mateo Zoe Jazmin Quiroga Cabrera,Sr(a). Valentina  Castro,Chaco,Catamarca,157,11.05,9,0,2,2,0,1
ENV-0037,Luisana Fernandez Gomez,Maria Emilia Fernandez Garcia,La Rioja,Jujuy,410,22.19,18,1,4,11,1,7
ENV-0038,Lucio Sofia Godoy,Juan Bautista Valentina Bustos Rodriguez,Jujuy,Santiago del Estero,446,46.98,5,1,0,2,0,2
ENV-0039,Milena Gonzalez,Milo Luca Perez Villalba,Chubut,Formosa,242,30.44,11,0,5,11,0,1
ENV-0040,Dr(a). Lucas Gomez,Manuel Miguel Angel Nuñez,Salta,Rio Negro,234,45.31,2,0,5,7,0,1
ENV-0041,Pedro Martina Torres,Tiziano Valentin Diaz Martinez,CABA,Buenos Aires,105,38.67,9,0,5,8,0,1
ENV-0042,Benicio Castro Hernandez,Sr(a). Gabriel Martinez,Misiones,San Juan,72,6.04,5,0,6,6,0,1
ENV-0043,Candelaria Nina Lucero,Joaquin Blanco Vargas,Chubut,Misiones,102,2.57,12,0,2,4,0,1
ENV-0044,Benjamin Ezequiel Guzman,Thiago Benjamin Maia Gomez,Santiago del Estero,Chaco,110,39.12,14,0,1,3,0,1
ENV-0045,Alma Mia Diaz Maldonado,Lautaro Paz,Cordoba,Misiones,476,9.38,11,1,6,11,0,2
ENV-0046,Delfina Milagros Ruiz,Santino Ezequiel Nahiara Garcia Moreno,Entre Rios,Formosa,660,39.48,4,1,6,1,0,4
ENV-0047,Agostina Farias,Luisana Juan Ignacio Valdez Lopez,Entre Rios,Corrientes,587,17.81,8,0,0,11,1,6
ENV-0048,Martina Matias Romero Caceres,Sofía Gutierrez,Formosa,Catamarca,91,17.88,17,1,5,9,1,2
ENV-0049,Tiziano Valentin Lopez,Paloma Gonzalez Blanco,Chaco,Formosa,115,29.24,9,0,0,10,1,4
ENV-0050,Sr(a). Guadalupe Rodriguez,Julian Antonella Gomez Mendoza,Misiones,Santa Cruz,900,6.22,19,0,2,1,0,3
ENV-0051,Dr(a). Vicente Romero,Lautaro Benjamin Santiago Dominguez Alvarez,Buenos Aires,Salta,1457,34.5,7,1,3,2,0,7
ENV-0052,Mora Julieta Molina,Julieta Diaz Caceres,La Pampa,Santa Cruz,1550,33.34,4,1,4,5,1,10
ENV-0053,Dr(a). Valentin Benitez,Bianca Geronimo Campos,Mendoza,Tierra del Fuego,1945,27.94,7,1,5,7,1,9
ENV-0054,Milagros Emilia Dominguez,Dr(a). Catalina Moyano,Santa Cruz,San Luis,1297,20.6,1,1,2,4,1,12
ENV-0055,Felicitas Francisco Diaz,Isabella Velazquez Cabrera,Santa Cruz,Santa Fe,1602,23.52,15,0,4,8,1,8
ENV-0056,Facundo Cruz Silva,Morena Martinez,Santiago del Estero,Catamarca,92,26.01,20,1,0,4,0,1
ENV-0057,Uma Guzman Cruz,Delfina Cordoba,Entre Rios,Corrientes,507,1.71,8,1,4,2,0,4
ENV-0058,Dr(a). Isabella Martinez,Facundo Figueroa Carrizo,Santa Fe,San Luis,269,36.06,13,1,3,4,1,3
ENV-0059,Dr(a). Maria Guadalupe Paez,Dr(a). Ludmila Molina,Chaco,Misiones,226,9.21,17,1,0,9,1,3
ENV-0060,Maria Emilia Agustin Perez,Giuliana Victoria Ramos,Neuquen,Chubut,288,33.55,18,1,6,8,0,2
ENV-0061,Lucía Perez,Luz Milagros Martinez Romero,Tucuman,Salta,229,41.61,18,1,1,12,0,2
ENV-0062,Sr(a). Valentino Martinez,Lucia Bautista Ramirez,Neuquen,Formosa,83,42.07,9,1,5,4,1,2
ENV-0063,Dr(a). Ciro Diaz,Francesca Vazquez,Tierra del Fuego,Jujuy,1430,13.95,11,0,1,3,1,8
ENV-0064,Jazmín Vazquez Alvarez,Thiago Joaquin Garcia Alvarez,Tierra del Fuego,Corrientes,1936,21.04,11,1,3,1,1,11
ENV-0065,Mateo Benjamin Ponce,Sr(a). Pilar Perez,Mendoza,San Luis,175,42.91,19,1,3,1,0,1
ENV-0066,Martina Romero,Lisandro Mansilla,Jujuy,Mendoza,527,27.14,18,0,3,4,1,7
ENV-0067,Lautaro Gabriel Mateo Benjamin Barrios,Sr(a). Catalina Flores,Buenos Aires,Mendoza,1006,33.61,13,0,6,8,0,6
ENV-0068,Joaquin Perez,Delfina Juan Cruz Coronel Alvarez,Santa Cruz,San Juan,926,45.39,19,0,0,11,1,7
ENV-0069,Valentina Rodriguez,Lautaro Ezequiel Rodriguez Moyano,Cordoba,CABA,686,19.27,7,1,2,6,0,4
ENV-0070,Lara Fausto Ferreyra,Maria Guadalupe Diaz Gonzalez,Mendoza,Formosa,127,12.99,3,1,0,12,1,4
ENV-0071,Emma Agustin Gomez,Valentin Valentina Torres,Entre Rios,Santa Fe,50,39.17,2,0,1,4,0,1
ENV-0072,Sr(a). Santiago Benjamin Lopez,Santino Benjamin Sanchez Peralta,Santa Cruz,Chubut,681,6.75,4,0,3,12,1,6
ENV-0073,Camila Vera,Mia Rivero Martinez,Cordoba,Santa Cruz,1475,48.2,4,0,2,2,1,9
ENV-0074,Mia Jazmin Juan Martin Gomez Velazquez,Lautaro Flores Torres,San Luis,Santiago del Estero,266,20.13,7,0,4,12,0,1
ENV-0075,Dr(a). Benjamin Flores,Santino Campos,Entre Rios,Chaco,547,42.59,20,0,6,10,0,3
ENV-0076,Lucia Benitez,Dr(a). Mora Ayala,La Rioja,San Juan,129,33.25,3,1,0,7,0,1
ENV-0077,Valentin Paz,Dr(a). Juan Cruz Martinez,Chaco,Misiones,262,31.96,15,0,3,3,0,1
ENV-0078,Victoria Acosta Cardozo,Dr(a). Alma Aguirre,Santa Fe,Formosa,727,40.51,18,1,3,7,0,4
ENV-0079,Joaquin Delfina Figueroa Romero,Dr(a). Lautaro Benjamin Gutierrez,San Luis,Formosa,352,42.66,3,1,3,4,0,2
ENV-0080,Catalina Joaquín Suarez,Helena Mia Valentina Aguirre,San Luis,Santa Cruz,1317,17.15,16,1,1,8,1,10
ENV-0081,Catalina Diaz Ledesma,Vicente Guadalupe Castro Romero,La Pampa,Formosa,672,35.21,9,0,4,4,1,7
ENV-0082,Dr(a). Lautaro Acosta,Valentina Juan Ignacio Lopez Gomez,Rio Negro,San Juan,81,34.69,16,1,6,1,1,3
ENV-0083,Sr(a). Santiago Ponce,Lisandro Maria Belen Pereyra Garcia,Mendoza,Tierra del Fuego,1932,15.66,19,1,3,9,1,11
ENV-0084,Zoe Jazmin Garcia Sosa,Benjamin Mateo Benjamin Perez Bravo,Tucuman,San Juan,154,17.91,15,1,2,5,1,3
ENV-0085,Dr(a). Genaro Fernandez,Santino Gonzalez,La Pampa,Chaco,507,47.57,6,0,1,12,1,8
ENV-0086,Valentin Simon Lopez Rodriguez,Juan Ignacio Rodriguez,Salta,Santa Cruz,642,49.04,7,1,1,6,1,5
ENV-0087,Bautista Morales,Felipe Correa Duarte,Tierra del Fuego,San Juan,1852,14.08,2,1,5,3,0,7
ENV-0088,Priscila Gomez Coronel,Sr(a). Octavio Alvarez,Rio Negro,Chaco,123,28.92,16,1,3,6,1,2
ENV-0089,Juana Nuñez,Julieta Rios,Formosa,Rio Negro,50,41.19,13,1,0,10,1,2
ENV-0090,Sr(a). Abigail Diaz,Thiago Benjamin Catalina Martinez,Chubut,Chubut,164,47.48,3,0,0,9,0,1
ENV-0091,Sr(a). Mateo Ramirez,Dr(a). Juana Martinez,Santa Cruz,Santa Cruz,178,11.67,17,1,3,8,1,6
ENV-0092,Federico Facundo Castillo Blanco,Sr(a). Pedro Molina,Misiones,Jujuy,365,31.24,20,0,6,4,0,1
ENV-0093,Luz Maria Ezequiel Rodriguez,Sol Mia Paz,Formosa,Santiago del Estero,50,8.27,6,0,1,1,0,1
ENV-0094,Simon Valentin Sanchez Ruiz,Guillermina Morena Rodriguez Gonzalez,Tierra del Fuego,Santa Cruz,940,14.92,8,1,5,5,0,4
ENV-0095,Abril Juarez,Catalina Soto Miranda,Neuquen,Catamarca,79,46.23,19,0,3,2,0,1
ENV-0096,Sr(a). Angel Gabriel Carrizo,Dante Paulina Lopez Gutierrez,Santa Fe,Chubut,888,41.42,3,0,1,5,0,3
ENV-0097,Santino Gabriel Lopez,Dr(a). Juan Manuel Aguirre,San Luis,Jujuy,782,6.66,10,1,2,9,0,4
ENV-0098,Valentin Ramirez Sanchez,Jazmín Romero Ledesma,Neuquen,Catamarca,173,2.47,14,1,4,5,1,3
ENV-0099,Antonella Camila Coronel Gonzalez,Josefina Sanchez Valdez,Santiago del Estero,San Luis,320,47.56,9,0,6,3,0,1
ENV-0100,Santino Ezequiel Paz,Milagros Molina Ramirez,Santa Fe,Neuquen,641,9.48,19,1,5,8,0,4
ENV-0101,Maximo Julian Aguirre,Alejo Diaz,Rio Negro,La Rioja,124,17.0,4,0,2,7,0,1
ENV-0102,Sr(a). Dylan Benitez,Juan Ignacio Valdez,Jujuy,Santiago del Estero,522,40.77,18,0,3,2,1,6
ENV-0103,Sr(a). Paloma Sanchez,Nicolas Gomez Toledo,Chaco,Mendoza,151,41.33,1,1,3,1,1,4
ENV-0104,Malena Gomez Miranda,Paula Garcia,Santa Cruz,Rio Negro,980,22.38,2,0,2,9,1,6
ENV-0105,Renata Jazmin Herrera Medina,Olivia Mateo Valentin Gimenez,Neuquen,Tierra del Fuego,1894,6.51,20,0,5,3,1,7
ENV-0106,Santino Ezequiel Victoria Caceres,Alma Caceres,San Juan,Misiones,93,11.62,4,1,0,11,0,1
ENV-0107,Tobias Emilia Garcia Nuñez,Santino Ezequiel Acosta,Rio Negro,Tierra del Fuego,1794,25.69,9,1,6,8,0,7
ENV-0108,Lautaro Molina,Dr(a). Facundo Sanchez,Entre Rios,Neuquen,761,7.66,7,0,6,2,0,3
ENV-0109,Lautaro Gabriel Emma Alvarez,Martina Villalba,Misiones,La Pampa,749,13.73,1,1,5,5,0,4
ENV-0110,Francesca Dominguez,Guillermina Martina Gimenez,San Luis,Santiago del Estero,295,43.33,15,1,2,6,0,2
ENV-0111,Dr(a). Tiziana Hernandez,Santino Bustos,San Juan,Mendoza,136,46.68,7,0,4,7,1,5
ENV-0112,Joaquín Ramirez Ferreyra,Bautista Sofia Belen Perez,CABA,La Pampa,591,35.41,13,1,5,11,0,4
ENV-0113,Dr(a). Lara Roldan,Dr(a). Benjamin Alejandro Morales,Rio Negro,CABA,1152,25.36,19,1,6,2,0,7
ENV-0114,Luna Gonzalez,Francisco Castillo Garcia,Neuquen,Chaco,204,45.57,1,0,3,11,0,1
ENV-0115,Thiago Valentin Lorenzo Gomez,Simon Ledesma Barrios,Catamarca,Rio Negro,137,17.26,13,0,6,6,0,1
ENV-0116,Juan Cruz Rodriguez Sosa,Felipe Pereyra,San Juan,Mendoza,101,31.53,16,0,4,2,1,4
ENV-0117,Sr(a). Mateo Rodriguez,Ana Paula Martinez,Entre Rios,Tucuman,743,21.98,4,0,3,3,0,3
ENV-0118,Sr(a). Francisco Godoy,Valentina Gonzalez,Buenos Aires,CABA,103,39.91,10,1,2,7,1,6
ENV-0119,Santino Nicolas Peralta,Bautista Rosario Olivera,Misiones,San Luis,416,8.91,3,1,4,11,1,7
ENV-0120,Luca Pedro Martinez Farias,Angel Gabriel Elena Gomez,Chubut,Entre Rios,988,32.08,15,1,5,1,0,4
ENV-0121,Franco Silva,Benjamin Milena Ruiz Gonzalez,Neuquen,Jujuy,459,8.32,15,1,4,5,0,2
ENV-0122,Thiago Emanuel Villalba Miranda,Octavio Francisco Figueroa Diaz,Misiones,Tierra del Fuego,1734,23.11,10,0,3,8,1,10
ENV-0123,Julian Agostina Muñoz,Lucía Alvaro Moreno,San Luis,La Rioja,367,15.15,10,0,6,11,1,2
ENV-0124,Francesco Martina Torres Fernandez,Juan Cruz Renata Diaz Caceres,San Luis,Santiago del Estero,182,45.58,16,1,6,4,0,1
ENV-0125,Julia Ian Ezequiel Rivero Perez,Nahiara Garcia,La Rioja,Entre Rios,618,31.23,5,0,5,11,1,7
ENV-0126,Luciana Valentin Rodriguez Navarro,Candela Lisandro Chavez,CABA,San Luis,813,36.75,3,1,2,12,1,6
ENV-0127,Dr(a). Catalina Ruiz,Mateo Benjamin Facundo Carrizo Carrizo,Chubut,San Juan,313,26.78,9,0,2,8,0,1
ENV-0128,Dr(a). Gael Acuña,Amparo Herrera Rios,Jujuy,Tucuman,306,40.31,15,0,1,4,0,1
ENV-0129,Dr(a). Uma  Diaz,Juan Manuel Medina Quiroga,Tucuman,Santiago del Estero,221,48.38,18,1,0,7,1,7
ENV-0130,Juan Ignacio Gonzalez,Julieta Aguirre Gomez,Chaco,Neuquen,164,33.81,9,1,6,11,0,1
ENV-0131,Sr(a). Francesca Torres,Dr(a). Salvador Ojeda,Chaco,Santiago del Estero,79,23.84,20,1,4,4,1,5
ENV-0132,Ambar Miranda,Dr(a). Luisana Garcia,Tierra del Fuego,Jujuy,1474,6.28,2,0,2,8,1,8
ENV-0133,Delfina Tomàs Martinez Torres,Manuel Maria Belen Sosa Ruiz,San Juan,Chubut,319,22.96,18,1,4,12,1,6
ENV-0134,León Santino Agustin Paz,Antonella Moreno Luna,Santa Fe,Chaco,545,30.97,9,0,5,6,1,7
ENV-0135,Isabella Romero Olivera,Sr(a). Bautista Coronel,Entre Rios,La Rioja,595,49.06,12,1,0,7,1,5
ENV-0136,Maria Victoria Zoe Valentina Martinez,Francesco Mia Garcia,Neuquen,Catamarca,74,32.26,20,0,0,6,1,3
ENV-0137,Charo Juan Pablo Figueroa,Antonella Gonzalez Gonzalez,San Luis,Corrientes,137,41.58,18,0,4,4,0,1
ENV-0138,Salvador Benjamin Perez,Thiago Nicolas Bruno Villalba,Entre Rios,La Pampa,57,39.54,20,0,2,3,0,1
ENV-0139,Tomàs Sosa,Sr(a). Facundo Diaz,San Juan,Formosa,64,5.94,1,0,0,6,0,1
ENV-0140,Sr(a). Ian Benjamin Bustos,Dr(a). Malena Soto,Entre Rios,San Luis,352,1.28,9,0,1,12,0,1
ENV-0141,Mateo Joaquin Farias Flores,Morena Bustos Rodriguez,Chaco,Tucuman,186,24.07,12,0,3,9,1,6
ENV-0142,Juan Cruz Fernandez Fernandez,Dr(a). Olivia Luna,CABA,Tucuman,1303,15.43,1,0,3,7,1,7
ENV-0143,Facundo Sofía Gomez Quiroga,Sr(a). Pedro Paez,Rio Negro,Tierra del Fuego,1833,4.14,3,1,4,3,1,10
ENV-0144,Alma Acosta,Sebastian Sanchez,Santa Cruz,Santa Fe,1669,27.64,11,1,4,9,1,12
ENV-0145,Vicente Thiago Fernandez Blanco,Catalina Rodriguez Benitez,Santa Cruz,Misiones,795,39.76,4,0,3,8,0,3
ENV-0146,Nina Lautaro Benjamin Nuñez Castro,Valentina  Renata Hernandez Acuña,Misiones,La Pampa,736,20.24,4,1,3,6,0,4
ENV-0147,Joaquina Muñoz,Juan Martin Lautaro Silva Diaz,La Rioja,Chubut,341,3.82,3,0,3,2,0,1
ENV-0148,Francisco Gomez,Dr(a). Juan Ignacio Garcia,La Rioja,Chubut,362,3.47,18,1,5,2,0,2
ENV-0149,Micaela Juan Gabriel Bravo,Sr(a). Tomas Dominguez,Santiago del Estero,Misiones,133,48.44,20,1,2,2,0,1
ENV-0150,Martina Victoria Coronel Ayala,Benjamin Tiziana Ortiz Ruiz,Corrientes,Chubut,443,11.6,4,1,6,9,0,2
ENV-0151,Thiago Nicolas Emanuel Gomez,Sr(a). Thiago Acosta,Formosa,San Luis,327,40.46,18,0,4,11,0,1
ENV-0152,Thiago Joaquín Ramos,Sr(a). Lautaro Nicolas Fernandez,Formosa,Buenos Aires,1066,14.03,10,1,2,1,1,9
ENV-0153,Sr(a). Amparo Perez,Pilar Benitez,San Luis,Santiago del Estero,272,3.94,1,0,5,9,0,1
ENV-0154,Delfina Agustina Romero Gomez,Dr(a). Bruno Sanchez,Misiones,Neuquen,107,8.29,10,1,6,10,0,1
ENV-0155,Camila Matias Gonzalez,Rosario Camilo Coronel Garcia,CABA,Chubut,1360,37.84,2,0,2,8,0,6
ENV-0156,Benjamin Cardozo Lopez,Julia Martinez,Rio Negro,Santa Cruz,933,21.0,7,0,2,7,1,8
ENV-0157,Dr(a). Bautista Guzman,Lorenzo Medina Rodriguez,Rio Negro,Salta,248,2.75,13,0,0,4,1,3
ENV-0158,Dante Franco Vega Ramirez,Lola Martin Lopez,Chubut,Formosa,244,16.74,1,1,5,7,1,6
ENV-0159,Dr(a). Ludmila Ayala,Lorenzo Gomez Benitez,San Juan,Tierra del Fuego,1878,25.26,12,0,3,12,1,7
ENV-0160,Bruno Ruiz,Thiago Valentin Delfina Vargas Rodriguez,Neuquen,Catamarca,100,29.0,19,1,5,11,1,2
ENV-0161,Julia Diaz Ramos,Ian Benjamin Sara Maldonado Martinez,Mendoza,Buenos Aires,1003,9.01,20,1,6,12,0,7
ENV-0162,Valentina Joaquin Fernandez,Joaquin Ramos Aguirre,Catamarca,Misiones,147,12.54,19,1,4,2,1,4
ENV-0163,Dr(a). Thiago Ezequiel Cruz,Dr(a). Santino Ezequiel Morales,Tucuman,La Pampa,676,16.99,6,0,4,11,1,8
ENV-0164,Simon Valentin Morales,Salvador Lautaro Rodriguez Medina,Corrientes,La Rioja,109,36.51,5,0,0,3,1,3
ENV-0165,Isabella Rivero Rodriguez,Mora Gimenez Medina,Santa Cruz,Chubut,639,9.27,16,1,6,10,0,4
ENV-0166,Sr(a). Tomàs Correa,Juan Cruz Agustin Fernandez,Neuquen,Santiago del Estero,164,32.33,20,1,6,11,1,5
ENV-0167,Tomàs Correa Miranda,Juan Bautista Lopez Martinez,Catamarca,Rio Negro,183,31.75,9,0,2,9,1,5
ENV-0168,Dylan Ezequiel Pereyra,Sr(a). Guadalupe Avila,Neuquen,CABA,1084,18.75,10,0,5,2,0,6
ENV-0169,Renata Romero,Sr(a). Francesco Moreno,Salta,Mendoza,438,29.23,2,1,6,10,0,2
ENV-0170,Ignacio Castro Alvarez,Lisandro Ambar Barrios Hernandez,La Pampa,Santa Cruz,1591,25.32,2,1,0,6,0,7
ENV-0171,Catalina Antonella Avila Sanchez,Valentino Vega,Catamarca,Salta,364,2.44,15,1,4,9,0,2
ENV-0172,Josefina Alvarez Arias,Valentina  Milena Ponce,La Rioja,La Rioja,92,19.68,11,0,6,11,0,1
ENV-0173,Sr(a). Mia Valentina Flores,Benjamin Josefina Duarte Romero,Catamarca,La Pampa,444,28.12,13,1,2,12,0,2
ENV-0174,Santiago Franco,Bautista Juan Gabriel Gomez,Santa Cruz,Chubut,705,4.53,5,1,2,11,0,4
ENV-0175,Sr(a). Antonella Hernandez,Sr(a). Matias Fernandez,Mendoza,Chubut,422,35.59,3,1,4,7,0,2
ENV-0176,Ludmila Milo Correa,Joaquín Martina Torres,La Pampa,Chubut,904,5.13,14,1,0,6,1,6
ENV-0177,Faustino Tomas Cardozo,Francisco Martinez,La Pampa,Rio Negro,619,11.71,5,0,0,5,0,3
ENV-0178,Florencia Diaz,Dr(a). Malena Garcia,Chaco,Salta,508,41.84,17,0,5,6,0,3
ENV-0179,Juan Bautista Flores,Augusto Juan Fernandez,Santa Cruz,Chubut,772,19.15,6,0,6,12,0,3
ENV-0180,Isabella Jazmin Torres Maidana,Sr(a). Emilia Coronel,Cordoba,Tucuman,582,2.66,12,0,3,10,1,7
ENV-0181,Tomàs Agustina Rivero Gomez,Augusto Antonio Soria,Entre Rios,San Juan,631,15.82,16,0,2,11,0,3
ENV-0182,Isabella Gimenez,Francesca Catalina Martinez,Neuquen,Neuquen,92,39.02,17,1,1,4,0,1
ENV-0183,Isabel Giuliana Ferreyra Arias,Martina Bastian Herrera,Chubut,Formosa,183,32.24,12,0,5,9,0,1
ENV-0184,Alejo Valentin Cabrera,Benjamin Diaz Fernandez,Jujuy,Catamarca,461,14.0,17,0,6,7,1,3
ENV-0185,Dr(a). Santino Garcia,Juan Ignacio Emma Godoy Rios,Neuquen,La Rioja,50,21.04,13,1,1,7,0,1
ENV-0186,Santino Barrios Luna,Agustín Silva Muñoz,La Rioja,Entre Rios,577,16.27,4,1,6,3,1,7
ENV-0187,Pedro Mora Martinez Ramirez,Bruno Sosa Moyano,Rio Negro,Tierra del Fuego,1755,38.06,16,1,4,1,0,7
ENV-0188,Sr(a). Francesca Herrera,Lautaro Gabriel Perez,Buenos Aires,Formosa,1075,41.83,18,1,0,5,1,8
ENV-0189,Benicio Rodriguez Martinez,Thiago Nahuel Ponce Romero,CABA,Entre Rios,477,32.13,20,1,0,2,0,2
ENV-0190,Lautaro Romero Moreno,Lautaro Gabriel Suarez,Rio Negro,Santa Cruz,957,1.31,17,0,5,3,1,4
ENV-0191,Nina Isabella Ramos,Martina Diaz,Santa Cruz,La Rioja,981,28.75,6,0,4,6,1,8
ENV-0192,Antonio Josefina Sanchez,Juan Sebastian Molina,San Juan,Salta,399,27.93,13,1,0,11,1,5
ENV-0193,Martina Lara Garcia Guzman,Mateo Ezequiel Romero Gomez,Formosa,Tucuman,50,18.18,3,1,1,12,0,1
ENV-0194,Lorenzo Camila Benitez Campos,Martin Guillermina Aguirre Blanco,Chaco,San Luis,205,7.1,12,1,6,11,1,6
ENV-0195,Dr(a). Juan Ojeda,Lorenzo Toledo Lopez,Tierra del Fuego,Rio Negro,1766,40.67,3,1,0,5,1,9
ENV-0196,Juan Cruz Bautista Dominguez Sanchez,Dr(a). Mateo Acosta,CABA,La Pampa,549,26.01,18,1,2,1,0,4
ENV-0197,Martina Aguero,Mora Lorenzo Godoy Arias,Corrientes,Jujuy,561,43.18,2,1,2,2,0,4
ENV-0198,Bautista Godoy Torres,Benjamin Alejandro Felipe Cabrera,Misiones,Mendoza,232,44.78,13,1,1,8,0,2
ENV-0199,Martina Rodriguez,Guadalupe Santino Agustin Gonzalez Fernandez,La Rioja,Salta,338,40.16,14,0,3,10,0,1
ENV-0200,Santino Agustin Torres,Dante Pereyra Ruiz,Cordoba,San Juan,395,16.4,3,1,5,5,0,2
ENV-0201,Valentina Santino Ponce Aguirre,Ian Ezequiel Gomez,Santa Cruz,Tierra del Fuego,929,8.75,15,1,3,1,0,4
ENV-0202,Federico Delfina Cabrera Ledesma,Sofia Fernandez,La Rioja,Santa Cruz,1031,14.09,2,0,5,11,1,11
ENV-0203,Facundo Mendoza Acosta,Alma Valentina Martin Velazquez,Tucuman,Santiago del Estero,160,47.66,5,1,0,3,1,4
ENV-0204,Paloma Nicolas Garcia Garcia,Luz Milagros Dylan Godoy,La Rioja,Mendoza,165,2.1,5,1,2,6,0,1
ENV-0205,Bianca Juan Ignacio Diaz Fernandez,Benjamin Castro,Catamarca,San Luis,205,26.71,13,1,5,5,1,3
ENV-0206,Valentin Lautaro Nahuel Fernandez Cruz,Josefina Franco Muñoz,Buenos Aires,Tucuman,1167,25.2,13,0,2,5,0,6
ENV-0207,Dr(a). Milo Paz,Juan Ignacio Sanchez Rodriguez,Corrientes,Santa Cruz,1093,34.85,16,0,0,3,0,6
